Row ID,Order ID,Order Date ,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit  percentage
7981,CA-2014-103800,03-01-2014,01-07-2014,Standard Class,LA-16780,Laura Armstrong,Corporate,US,Hackensack,New Jersey,7601,East,OFF-LA-10001175,Office Supplies,Labels,Avery 514,14.40,5,0.00,7.06,204.0%
740,CA-2014-112326,04-01-2014,01-08-2014,Standard Class,LR-16915,Lena Radford,Consumer,US,San Diego,California,92024,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,327.76,8,0.00,91.77,357.2%
741,CA-2014-112326,04-01-2014,01-08-2014,Standard Class,MB-17305,Maria Bertelson,Consumer,US,Glendale,Arizona,85301,West,FUR-FU-10001602,Furniture,Furnishings,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",121.38,4,0.20,-3.03,-4005.9%
742,CA-2014-112326,04-01-2014,01-08-2014,Standard Class,MB-17305,Maria Bertelson,Consumer,US,Glendale,Arizona,85301,West,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.20,-10.8,-888.7%
1760,CA-2014-141817,05-01-2014,01-12-2014,Standard Class,NM-18445,Nathan Mautz,Home Office,US,New York City,New York,10024,East,FUR-CH-10002602,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.88,1,0.10,24.16,562.4%
7181,CA-2014-106054,06-01-2014,01-07-2014,First Class,JK-15205,Jamie Kunitz,Consumer,US,Niagara Falls,New York,14304,East,TEC-PH-10004912,Technology,Phones,Cisco SPA112 2 Port Phone Adapter,164.85,3,0.00,47.81,344.8%
5328,CA-2014-130813,06-01-2014,01-08-2014,Second Class,TM-21010,Tamara Manning,Consumer,US,Vacaville,California,95687,West,OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,423.28,11,0.00,110.05,384.6%
7475,CA-2014-167199,06-01-2014,01-10-2014,Standard Class,RD-19930,Russell D'Ascenzo,Consumer,US,Dallas,Texas,75217,Central,OFF-LA-10002271,Office Supplies,Labels,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,4.93,2,0.20,1.72,286.6%
7476,CA-2014-167199,06-01-2014,01-10-2014,Standard Class,RD-19930,Russell D'Ascenzo,Consumer,US,Dallas,Texas,75217,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.80,-3.04,-58.9%
7477,CA-2014-167199,06-01-2014,01-10-2014,Standard Class,RD-19930,Russell D'Ascenzo,Consumer,US,Dallas,Texas,75217,Central,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance,15.07,4,0.20,-3.77,-399.7%
